年,月,日,気温,品質,均質
2006,3,11,11.6,8,1
2006,3,12,13.8,8,1
2006,3,13,5.5,8,1
2006,3,14,5.3,8,1
2006,3,15,8.4,8,1
2006,3,16,11.7,8,1
2006,3,17,13.2,8,1
2006,3,18,12.3,8,1
2006,3,19,9.7,8,1
2006,3,20,8.5,8,1
2006,3,21,11.7,8,1
2006,3,22,10.3,8,1
2006,3,23,10.4,8,1
2006,3,24,11.2,8,1
2006,3,25,10.7,8,1
2006,3,26,13.6,8,1
2006,3,27,12.3,8,1
2006,3,28,13.0,8,1
2006,3,29,9.8,8,1
2006,3,30,8.0,8,1
2006,3,31,8.0,8,1
2006,4,1,10.7,8,1
2006,4,2,13.3,8,1
2006,4,3,13.8,8,1
2006,4,4,15.2,8,1
2006,4,5,11.6,8,1
2006,4,6,11.6,8,1
2006,4,7,9.8,8,1
2006,4,8,12.5,8,1
2006,4,9,12.9,8,1
2006,4,10,10.4,8,1
2006,4,11,11.6,8,1
2006,4,12,15.1,8,1
2006,4,13,17.4,8,1
2006,4,14,13.0,8,1
2006,4,15,10.1,8,1
2006,4,16,9.6,8,1
2006,4,17,13.7,8,1
2006,4,18,16.4,8,1
2006,4,19,17.8,8,1
2006,4,20,16.3,8,1
2006,4,21,12.9,8,1
2006,4,22,13.7,8,1
2006,4,23,14.4,8,1
2006,4,24,16.4,8,1
2006,4,25,12.1,8,1
2006,4,26,14.0,8,1
2006,4,27,13.0,8,1
2006,4,28,15.9,8,1
2006,4,29,15.8,8,1
2006,4,30,18.3,8,1
2006,5,1,23.1,8,1
2006,5,2,15.5,8,1
2006,5,3,13.5,8,1
2006,5,4,16.7,8,1
2006,5,5,20.0,8,1
2006,5,6,20.4,8,1
2006,5,7,18.8,8,1
2006,5,8,16.1,8,1
2006,5,9,15.0,8,1
2006,5,10,18.8,8,1
2006,5,11,21.2,8,1
2006,5,12,17.2,8,1
2006,5,13,12.9,8,1
2006,5,14,15.7,8,1
2006,5,15,19.1,8,1
2006,5,16,18.7,8,1
2006,5,17,18.5,8,1
2006,5,18,17.3,8,1
2006,5,19,19.0,8,1
2006,5,20,23.7,8,1
2006,5,21,21.7,8,1
2006,5,22,20.4,8,1
2006,5,23,20.9,8,1
2006,5,24,20.2,8,1
2006,5,25,18.5,8,1
2006,5,26,19.4,8,1
2006,5,27,17.8,8,1
2006,5,28,20.4,8,1
2006,5,29,22.7,8,1
2006,5,30,21.9,8,1
2006,5,31,22.7,8,1
2006,6,1,23.1,8,1
2006,6,2,22.2,8,1
2006,6,3,19.2,8,1
2006,6,4,18.3,8,1
2006,6,5,19.0,8,1
2006,6,6,20.4,8,1
2006,6,7,20.2,8,1
2006,6,8,20.1,8,1
2006,6,9,19.3,8,1
2006,6,10,23.2,8,1
2006,6,11,19.4,8,1
2006,6,12,20.5,8,1
2006,6,13,21.5,8,1
2006,6,14,22.6,8,1
2006,6,15,22.2,8,1
2006,6,16,22.4,8,1
2006,6,17,24.5,8,1
2006,6,18,21.3,8,1
2006,6,19,23.7,8,1
2006,6,20,24.9,8,1
2006,6,21,23.3,8,1
2006,6,22,23.6,8,1
2006,6,23,23.4,8,1
2006,6,24,24.8,8,1
2006,6,25,23.5,8,1
2006,6,26,22.9,8,1
2006,6,27,24.8,8,1
2006,6,28,26.5,8,1
2006,6,29,27.4,8,1
2006,6,30,26.6,8,1
2006,7,1,26.1,8,1
2006,7,2,26.6,8,1
2006,7,3,26.0,8,1
2006,7,4,25.3,8,1
2006,7,5,23.1,8,1
2006,7,6,24.7,8,1
2006,7,7,25.8,8,1
2006,7,8,26.0,8,1
2006,7,9,24.7,8,1
2006,7,10,26.2,8,1
2006,7,11,27.5,8,1
2006,7,12,28.3,8,1
2006,7,13,28.9,8,1
2006,7,14,30.4,8,1
2006,7,15,30.2,8,1
2006,7,16,28.3,8,1
2006,7,17,24.0,8,1
2006,7,18,21.6,8,1
2006,7,19,21.1,8,1
2006,7,20,22.4,8,1
2006,7,21,21.4,8,1
2006,7,22,23.7,8,1
2006,7,23,24.3,8,1
2006,7,24,24.0,8,1
2006,7,25,24.6,8,1
2006,7,26,27.8,8,1
2006,7,27,27.0,8,1
2006,7,28,26.7,8,1
2006,7,29,28.0,8,1
2006,7,30,25.0,8,1
2006,7,31,23.6,8,1
2006,8,1,22.9,8,1
2006,8,2,24.9,8,1
2006,8,3,27.5,8,1
2006,8,4,28.9,8,1
2006,8,5,30.0,8,1
2006,8,6,29.1,8,1
2006,8,7,29.7,8,1
2006,8,8,26.5,8,1
2006,8,9,25.5,8,1
2006,8,10,28.5,8,1
2006,8,11,27.7,8,1
2006,8,12,25.9,8,1
2006,8,13,26.6,8,1
2006,8,14,28.5,8,1
2006,8,15,26.4,8,1
2006,8,16,26.9,8,1
2006,8,17,28.7,8,1
2006,8,18,29.3,8,1
2006,8,19,29.9,8,1
2006,8,20,28.7,8,1
2006,8,21,28.9,8,1
2006,8,22,28.6,8,1
2006,8,23,28.6,8,1
2006,8,24,28.7,8,1
2006,8,25,28.0,8,1
2006,8,26,25.2,8,1
2006,8,27,25.4,8,1
2006,8,28,26.0,8,1
2006,8,29,27.8,8,1
2006,8,30,27.0,8,1
2006,8,31,27.1,8,1
2006,9,1,23.2,8,1
2006,9,2,24.6,8,1
2006,9,3,26.1,8,1
2006,9,4,26.5,8,1
2006,9,5,28.5,8,1
2006,9,6,24.1,8,1
2006,9,7,25.3,8,1
2006,9,8,26.2,8,1
2006,9,9,27.1,8,1
2006,9,10,29.1,8,1
2006,9,11,26.0,8,1
2006,9,12,21.8,8,1
2006,9,13,18.7,8,1
2006,9,14,19.2,8,1
2006,9,15,21.5,8,1
2006,9,16,22.1,8,1
2006,9,17,21.5,8,1
2006,9,18,24.3,8,1
2006,9,19,27.1,8,1
2006,9,20,25.4,8,1
2006,9,21,24.3,8,1
2006,9,22,22.7,8,1
2006,9,23,21.3,8,1
2006,9,24,21.0,8,1
2006,9,25,21.2,8,1
2006,9,26,19.1,8,1
2006,9,27,20.1,8,1
2006,9,28,23.6,8,1
2006,9,29,22.3,8,1
2006,9,30,22.5,8,1
2006,10,1,20.7,8,1
2006,10,2,18.7,8,1
2006,10,3,22.1,8,1
2006,10,4,22.3,8,1
2006,10,5,20.0,8,1
2006,10,6,17.0,8,1
2006,10,7,20.9,8,1
2006,10,8,21.3,8,1
2006,10,9,21.2,8,1
2006,10,10,21.3,8,1
2006,10,11,22.0,8,1
2006,10,12,22.8,8,1
2006,10,13,20.3,8,1
2006,10,14,18.6,8,1
2006,10,15,17.6,8,1
2006,10,16,20.2,8,1
2006,10,17,20.8,8,1
2006,10,18,19.6,8,1
2006,10,19,20.2,8,1
2006,10,20,20.7,8,1
2006,10,21,19.5,8,1
2006,10,22,18.8,8,1
2006,10,23,16.4,8,1
2006,10,24,13.4,8,1
2006,10,25,17.0,8,1
2006,10,26,18.9,8,1
2006,10,27,18.1,8,1
2006,10,28,19.0,8,1
2006,10,29,19.0,8,1
2006,10,30,18.7,8,1
2006,10,31,18.7,8,1
2006,11,1,18.6,8,1
2006,11,2,16.6,8,1
2006,11,3,17.4,8,1
2006,11,4,17.4,8,1
2006,11,5,17.5,8,1
2006,11,6,18.7,8,1
2006,11,7,18.5,8,1
2006,11,8,15.2,8,1
2006,11,9,16.3,8,1
2006,11,10,18.0,8,1
2006,11,11,15.5,8,1
2006,11,12,13.1,8,1
2006,11,13,13.7,8,1
2006,11,14,16.9,8,1
2006,11,15,14.9,8,1
2006,11,16,12.9,8,1
2006,11,17,11.4,8,1
2006,11,18,11.7,8,1
2006,11,19,10.0,8,1
2006,11,20,12.7,8,1
2006,11,21,15.0,8,1
2006,11,22,14.9,8,1
2006,11,23,12.0,8,1
2006,11,24,10.8,8,1
2006,11,25,9.6,8,1
2006,11,26,10.0,8,1
2006,11,27,14.1,8,1
2006,11,28,12.6,8,1
2006,11,29,14.4,8,1
2006,11,30,11.2,8,1
2006,12,1,11.0,8,1
2006,12,2,11.4,8,1
2006,12,3,9.1,8,1
2006,12,4,8.6,8,1
2006,12,5,8.2,8,1
2006,12,6,9.1,8,1
2006,12,7,9.1,8,1
2006,12,8,10.7,8,1
2006,12,9,7.2,8,1
2006,12,10,9.5,8,1
2006,12,11,9.9,8,1
2006,12,12,7.7,8,1
2006,12,13,10.3,8,1
2006,12,14,11.3,8,1
2006,12,15,11.3,8,1
2006,12,16,13.0,8,1
2006,12,17,11.9,8,1
2006,12,18,8.6,8,1
2006,12,19,7.2,8,1
2006,12,20,8.6,8,1
2006,12,21,9.3,8,1
2006,12,22,9.5,8,1
2006,12,23,9.4,8,1
2006,12,24,9.5,8,1
2006,12,25,8.6,8,1
2006,12,26,8.1,8,1
2006,12,27,14.7,8,1
2006,12,28,11.5,8,1
2006,12,29,6.4,8,1
2006,12,30,6.8,8,1
2006,12,31,6.8,8,1
2007,1,1,5.8,8,1
2007,1,2,8.3,8,1
2007,1,3,8.6,8,1
2007,1,4,7.5,8,1
2007,1,5,7.1,8,1
2007,1,6,6.1,8,1
2007,1,7,8.7,8,1
2007,1,8,7.1,8,1
2007,1,9,7.0,8,1
2007,1,10,7.4,8,1
2007,1,11,7.4,8,1
2007,1,12,6.7,8,1
2007,1,13,6.9,8,1
2007,1,14,6.5,8,1
2007,1,15,7.9,8,1
2007,1,16,8.0,8,1
2007,1,17,7.0,8,1
2007,1,18,8.1,8,1
2007,1,19,7.5,8,1
2007,1,20,5.0,8,1
2007,1,21,6.7,8,1
2007,1,22,7.4,8,1
2007,1,23,8.2,8,1
2007,1,24,7.6,8,1
2007,1,25,7.9,8,1
2007,1,26,8.4,8,1
2007,1,27,10.1,8,1
2007,1,28,8.9,8,1
2007,1,29,7.7,8,1
2007,1,30,9.0,8,1
2007,1,31,10.3,8,1
2007,2,1,8.5,8,1
2007,2,2,6.3,8,1
2007,2,3,7.3,8,1
2007,2,4,7.4,8,1
2007,2,5,8.5,8,1
2007,2,6,11.2,8,1
2007,2,7,10.2,8,1
2007,2,8,9.8,8,1
2007,2,9,10.3,8,1
2007,2,10,10.8,8,1
2007,2,11,8.8,8,1
2007,2,12,8.4,8,1
2007,2,13,8.9,8,1
2007,2,14,10.0,8,1
2007,2,15,9.9,8,1
2007,2,16,8.2,8,1
2007,2,17,6.9,8,1
2007,2,18,6.8,8,1
2007,2,19,9.3,8,1
2007,2,20,7.0,8,1
2007,2,21,9.8,8,1
2007,2,22,10.9,8,1
2007,2,23,11.1,8,1
2007,2,24,6.6,8,1
2007,2,25,3.7,8,1
2007,2,26,6.1,8,1
2007,2,27,9.4,8,1
2007,2,28,10.0,8,1
2007,3,1,9.0,8,1
2007,3,2,9.5,8,1
2007,3,3,11.8,8,1
2007,3,4,14.3,8,1
2007,3,5,17.1,8,1
2007,3,6,12.8,8,1
2007,3,7,7.7,8,1
2007,3,8,7.9,8,1
2007,3,9,7.6,8,1
2007,3,10,9.9,8,1
2007,3,11,9.2,8,1
2007,3,12,7.6,8,1
2007,3,13,7.8,8,1
2007,3,14,7.6,8,1
2007,3,15,8.8,8,1
2007,3,16,7.9,8,1
2007,3,17,6.7,8,1
2007,3,18,6.3,8,1
2007,3,19,7.6,8,1
2007,3,20,8.3,8,1
2007,3,21,8.9,8,1
2007,3,22,11.7,8,1
2007,3,23,12.4,8,1
2007,3,24,13.4,8,1
2007,3,25,15.6,8,1
2007,3,26,14.9,8,1
2007,3,27,13.6,8,1
2007,3,28,15.3,8,1
2007,3,29,18.1,8,1
2007,3,30,13.2,8,1
2007,3,31,13.1,8,1
2007,4,1,17.7,8,1
2007,4,2,14.3,8,1
2007,4,3,8.8,8,1
2007,4,4,7.3,8,1
2007,4,5,9.8,8,1
2007,4,6,11.1,8,1
2007,4,7,13.2,8,1
2007,4,8,13.6,8,1
2007,4,9,12.0,8,1
2007,4,10,13.8,8,1
2007,4,11,12.1,8,1
2007,4,12,13.3,8,1
2007,4,13,16.7,8,1
2007,4,14,19.0,8,1
2007,4,15,15.2,8,1
2007,4,16,10.6,8,1
2007,4,17,9.1,8,1
2007,4,18,8.8,8,1
2007,4,19,9.9,8,1
2007,4,20,14.0,8,1
2007,4,21,19.2,8,1
2007,4,22,20.0,8,1
2007,4,23,15.0,8,1
2007,4,24,13.1,8,1
2007,4,25,13.2,8,1
2007,4,26,16.4,8,1
2007,4,27,14.2,8,1
2007,4,28,15.2,8,1
2007,4,29,16.4,8,1
2007,4,30,19.2,8,1
2007,5,1,17.2,8,1
2007,5,2,19.1,8,1
2007,5,3,19.5,8,1
2007,5,4,21.5,8,1
2007,5,5,22.2,8,1
2007,5,6,18.0,8,1
2007,5,7,19.5,8,1
2007,5,8,20.1,8,1
2007,5,9,23.1,8,1
2007,5,10,20.3,8,1
2007,5,11,18.5,8,1
2007,5,12,19.0,8,1
2007,5,13,20.7,8,1
2007,5,14,18.9,8,1
2007,5,15,18.4,8,1
2007,5,16,19.1,8,1
2007,5,17,17.8,8,1
2007,5,18,21.2,8,1
2007,5,19,19.2,8,1
2007,5,20,18.9,8,1
2007,5,21,18.1,8,1
2007,5,22,20.8,8,1
2007,5,23,22.4,8,1
2007,5,24,22.4,8,1
2007,5,25,19.1,8,1
2007,5,26,23.1,8,1
2007,5,27,23.2,8,1
2007,5,28,16.3,8,1
2007,5,29,18.0,8,1
2007,5,30,18.7,8,1
2007,5,31,18.8,8,1
2007,6,1,18.4,8,1
2007,6,2,20.9,8,1
2007,6,3,21.7,8,1
2007,6,4,21.5,8,1
2007,6,5,21.8,8,1
2007,6,6,22.2,8,1
2007,6,7,22.4,8,1
2007,6,8,22.4,8,1
2007,6,9,22.2,8,1
2007,6,10,19.8,8,1
2007,6,11,20.9,8,1
2007,6,12,23.5,8,1
2007,6,13,23.6,8,1
2007,6,14,21.8,8,1
2007,6,15,24.0,8,1
2007,6,16,24.8,8,1
2007,6,17,22.1,8,1
2007,6,18,23.8,8,1
2007,6,19,26.1,8,1
2007,6,20,25.5,8,1
2007,6,21,26.4,8,1
2007,6,22,23.9,8,1
2007,6,23,25.4,8,1
2007,6,24,22.9,8,1
2007,6,25,21.0,8,1
2007,6,26,22.8,8,1
2007,6,27,26.4,8,1
2007,6,28,26.5,8,1
2007,6,29,27.1,8,1
2007,6,30,25.4,8,1
2007,7,1,23.3,8,1
2007,7,2,24.0,8,1
2007,7,3,24.3,8,1
2007,7,4,21.5,8,1
2007,7,5,24.7,8,1
2007,7,6,25.8,8,1
2007,7,7,23.9,8,1
2007,7,8,22.9,8,1
2007,7,9,23.7,8,1
2007,7,10,23.3,8,1
2007,7,11,24.7,8,1
2007,7,12,24.8,8,1
2007,7,13,24.9,8,1
2007,7,14,22.0,8,1
2007,7,15,23.8,8,1
2007,7,16,24.8,8,1
2007,7,17,19.8,8,1
2007,7,18,20.5,8,1
2007,7,19,22.2,8,1
2007,7,20,24.5,8,1
2007,7,21,25.2,8,1
2007,7,22,25.0,8,1
2007,7,23,25.2,8,1
2007,7,24,26.6,8,1
2007,7,25,26.2,8,1
2007,7,26,27.8,8,1
2007,7,27,28.8,8,1
2007,7,28,28.7,8,1
2007,7,29,27.1,8,1
2007,7,30,22.4,8,1
2007,7,31,23.6,8,1
2007,8,1,27.4,8,1
2007,8,2,28.7,8,1
2007,8,3,28.8,8,1
2007,8,4,30.2,8,1
2007,8,5,29.5,8,1
2007,8,6,29.0,8,1
2007,8,7,29.4,8,1
2007,8,8,29.7,8,1
2007,8,9,30.1,8,1
2007,8,10,31.1,8,1
2007,8,11,31.3,8,1
2007,8,12,29.4,8,1
2007,8,13,29.3,8,1
2007,8,14,30.1,8,1
2007,8,15,31.5,8,1
2007,8,16,32.7,8,1
2007,8,17,31.7,8,1
2007,8,18,25.5,8,1
2007,8,19,28.3,8,1
2007,8,20,30.5,8,1
2007,8,21,30.2,8,1
2007,8,22,31.7,8,1
2007,8,23,26.5,8,1
2007,8,24,27.5,8,1
2007,8,25,28.2,8,1
2007,8,26,29.2,8,1
2007,8,27,29.3,8,1
2007,8,28,28.6,8,1
2007,8,29,24.9,8,1
2007,8,30,24.5,8,1
2007,8,31,24.6,8,1
2007,9,1,22.4,8,1
2007,9,2,23.5,8,1
2007,9,3,25.4,8,1
2007,9,4,27.2,8,1
2007,9,5,27.2,8,1
2007,9,6,27.3,8,1
2007,9,7,27.1,8,1
2007,9,8,28.4,8,1
2007,9,9,27.5,8,1
2007,9,10,26.3,8,1
2007,9,11,24.8,8,1
2007,9,12,22.1,8,1
2007,9,13,23.9,8,1
2007,9,14,25.8,8,1
2007,9,15,27.5,8,1
2007,9,16,28.3,8,1
2007,9,17,29.0,8,1
2007,9,18,25.1,8,1
2007,9,19,24.4,8,1
2007,9,20,27.3,8,1
2007,9,21,27.4,8,1
2007,9,22,27.6,8,1
2007,9,23,23.7,8,1
2007,9,24,22.4,8,1
2007,9,25,24.9,8,1
2007,9,26,23.2,8,1
2007,9,27,23.6,8,1
2007,9,28,26.7,8,1
2007,9,29,18.4,8,1
2007,9,30,16.8,8,1
2007,10,1,18.1,8,1
2007,10,2,19.8,8,1
2007,10,3,21.0,8,1
2007,10,4,22.1,8,1
2007,10,5,22.5,8,1
2007,10,6,20.8,8,1
2007,10,7,19.9,8,1
2007,10,8,21.1,8,1
2007,10,9,19.2,8,1
2007,10,10,19.9,8,1
2007,10,11,20.8,8,1
2007,10,12,22.1,8,1
2007,10,13,19.5,8,1
2007,10,14,18.3,8,1
2007,10,15,18.6,8,1
2007,10,16,16.2,8,1
2007,10,17,17.9,8,1
2007,10,18,17.7,8,1
2007,10,19,17.4,8,1
2007,10,20,17.5,8,1
2007,10,21,17.2,8,1
2007,10,22,17.6,8,1
2007,10,23,18.9,8,1
2007,10,24,16.8,8,1
2007,10,25,17.8,8,1
2007,10,26,17.4,8,1
2007,10,27,16.8,8,1
2007,10,28,18.6,8,1
2007,10,29,21.3,8,1
2007,10,30,18.8,8,1
2007,10,31,17.3,8,1
2007,11,1,17.5,8,1
2007,11,2,16.5,8,1
2007,11,3,15.5,8,1
2007,11,4,15.9,8,1
2007,11,5,16.4,8,1
2007,11,6,16.0,8,1
2007,11,7,16.3,8,1
2007,11,8,15.9,8,1
2007,11,9,16.2,8,1
2007,11,10,13.2,8,1
2007,11,11,14.0,8,1
2007,11,12,15.1,8,1
2007,11,13,16.7,8,1
2007,11,14,16.2,8,1
2007,11,15,16.5,8,1
2007,11,16,12.2,8,1
2007,11,17,10.1,8,1
2007,11,18,11.8,8,1
2007,11,19,9.7,8,1
2007,11,20,10.8,8,1
2007,11,21,10.7,8,1
2007,11,22,8.2,8,1
2007,11,23,9.2,8,1
2007,11,24,9.2,8,1
2007,11,25,12.0,8,1
2007,11,26,12.2,8,1
2007,11,27,13.0,8,1
2007,11,28,11.6,8,1
2007,11,29,9.7,8,1
2007,11,30,9.9,8,1
2007,12,1,11.4,8,1
2007,12,2,11.6,8,1
2007,12,3,10.5,8,1
2007,12,4,9.5,8,1
2007,12,5,8.6,8,1
2007,12,6,9.9,8,1
2007,12,7,11.1,8,1
2007,12,8,10.6,8,1
2007,12,9,10.1,8,1
2007,12,10,9.9,8,1
2007,12,11,10.0,8,1
2007,12,12,10.9,8,1
2007,12,13,9.2,8,1
2007,12,14,9.8,8,1
2007,12,15,8.5,8,1
2007,12,16,6.9,8,1
2007,12,17,7.5,8,1
2007,12,18,8.0,8,1
2007,12,19,7.5,8,1
2007,12,20,8.1,8,1
2007,12,21,9.4,8,1
2007,12,22,7.1,8,1
2007,12,23,8.3,8,1
2007,12,24,9.7,8,1
2007,12,25,8.0,8,1
2007,12,26,6.5,8,1
2007,12,27,7.0,8,1
2007,12,28,8.0,8,1
2007,12,29,10.6,8,1
2007,12,30,9.5,8,1
2007,12,31,6.5,8,1
2008,1,1,6.0,8,1
2008,1,2,6.2,8,1
2008,1,3,5.9,8,1
2008,1,4,7.0,8,1
2008,1,5,6.0,8,1
2008,1,6,7.5,8,1
2008,1,7,8.4,8,1
2008,1,8,9.7,8,1
2008,1,9,10.4,8,1
2008,1,10,9.0,8,1
2008,1,11,9.3,8,1
2008,1,12,6.9,8,1
2008,1,13,4.8,8,1
2008,1,14,4.0,8,1
2008,1,15,5.4,8,1
2008,1,16,5.9,8,1
2008,1,17,3.9,8,1
2008,1,18,3.6,8,1
2008,1,19,4.8,8,1
2008,1,20,5.0,8,1
2008,1,21,4.9,8,1
2008,1,22,4.4,8,1
2008,1,23,3.0,8,1
2008,1,24,5.0,8,1
2008,1,25,3.4,8,1
2008,1,26,4.1,8,1
2008,1,27,4.1,8,1
2008,1,28,4.7,8,1
2008,1,29,5.2,8,1
2008,1,30,8.0,8,1
2008,1,31,6.2,8,1
2008,2,1,5.0,8,1
2008,2,2,4.8,8,1
2008,2,3,1.5,8,1
2008,2,4,4.7,8,1
2008,2,5,5.6,8,1
2008,2,6,2.8,8,1
2008,2,7,5.0,8,1
2008,2,8,4.9,8,1
2008,2,9,2.4,8,1
2008,2,10,6.5,8,1
2008,2,11,6.8,8,1
2008,2,12,6.1,8,1
2008,2,13,3.1,8,1
2008,2,14,5.1,8,1
2008,2,15,5.7,8,1
2008,2,16,5.2,8,1
2008,2,17,3.5,8,1
2008,2,18,5.3,8,1
2008,2,19,5.4,8,1
2008,2,20,7.1,8,1
2008,2,21,8.6,8,1
2008,2,22,9.5,8,1
2008,2,23,7.3,8,1
2008,2,24,3.7,8,1
2008,2,25,4.8,8,1
2008,2,26,8.7,8,1
2008,2,27,6.4,8,1
2008,2,28,6.6,8,1
2008,2,29,7.8,8,1
2008,3,1,8.8,8,1
2008,3,2,8.6,8,1
2008,3,3,9.3,8,1
2008,3,4,8.0,8,1
2008,3,5,6.4,8,1
2008,3,6,7.4,8,1
2008,3,7,7.8,8,1
2008,3,8,8.6,8,1
2008,3,9,10.4,8,1
2008,3,10,9.0,8,1
2008,3,11,12.6,8,1
2008,3,12,9.7,8,1
2008,3,13,10.3,8,1
2008,3,14,13.3,8,1
2008,3,15,14.7,8,1
2008,3,16,14.5,8,1
2008,3,17,13.1,8,1
2008,3,18,12.6,8,1
2008,3,19,12.1,8,1
2008,3,20,9.2,8,1
2008,3,21,10.7,8,1
2008,3,22,11.9,8,1
2008,3,23,12.3,8,1
2008,3,24,9.4,8,1
2008,3,25,12.5,8,1
2008,3,26,14.4,8,1
2008,3,27,12.0,8,1
2008,3,28,12.6,8,1
2008,3,29,12.1,8,1
2008,3,30,8.9,8,1
2008,3,31,7.8,8,1
2008,4,1,11.2,8,1
2008,4,2,13.0,8,1
2008,4,3,13.6,8,1
2008,4,4,14.1,8,1
2008,4,5,14.6,8,1
2008,4,6,14.7,8,1
2008,4,7,13.3,8,1
2008,4,8,12.1,8,1
2008,4,9,13.1,8,1
2008,4,10,10.1,8,1
2008,4,11,14.3,8,1
2008,4,12,15.9,8,1
2008,4,13,10.1,8,1
2008,4,14,12.9,8,1
2008,4,15,16.2,8,1
2008,4,16,17.6,8,1
2008,4,17,16.6,8,1
2008,4,18,13.4,8,1
2008,4,19,14.5,8,1
2008,4,20,15.7,8,1
2008,4,21,15.8,8,1
2008,4,22,16.0,8,1
2008,4,23,17.2,8,1
2008,4,24,18.2,8,1
2008,4,25,14.8,8,1
2008,4,26,13.7,8,1
2008,4,27,14.5,8,1
2008,4,28,15.9,8,1
2008,4,29,17.6,8,1
2008,4,30,20.5,8,1
2008,5,1,20.8,8,1
2008,5,2,19.9,8,1
2008,5,3,18.8,8,1
2008,5,4,18.5,8,1
2008,5,5,18.6,8,1
2008,5,6,19.8,8,1
2008,5,7,21.5,8,1
2008,5,8,19.6,8,1
2008,5,9,18.9,8,1
2008,5,10,13.5,8,1
2008,5,11,11.7,8,1
2008,5,12,12.5,8,1
2008,5,13,11.6,8,1
2008,5,14,12.9,8,1
2008,5,15,17.3,8,1
2008,5,16,18.7,8,1
2008,5,17,18.9,8,1
2008,5,18,18.6,8,1
2008,5,19,19.7,8,1
2008,5,20,20.4,8,1
2008,5,21,20.1,8,1
2008,5,22,21.7,8,1
2008,5,23,24.3,8,1
2008,5,24,21.6,8,1
2008,5,25,20.8,8,1
2008,5,26,23.1,8,1
2008,5,27,22.8,8,1
2008,5,28,21.3,8,1
2008,5,29,15.8,8,1
2008,5,30,14.9,8,1
2008,5,31,13.5,8,1
2008,6,1,18.7,8,1
2008,6,2,19.2,8,1
2008,6,3,15.8,8,1
2008,6,4,18.3,8,1
2008,6,5,18.6,8,1
2008,6,6,22.8,8,1
2008,6,7,23.0,8,1
2008,6,8,21.7,8,1
2008,6,9,21.2,8,1
2008,6,10,22.3,8,1
2008,6,11,22.8,8,1
2008,6,12,18.6,8,1
2008,6,13,21.7,8,1
2008,6,14,23.1,8,1
2008,6,15,21.1,8,1
2008,6,16,22.9,8,1
2008,6,17,22.1,8,1
2008,6,18,22.2,8,1
2008,6,19,23.7,8,1
2008,6,20,22.9,8,1
2008,6,21,23.5,8,1
2008,6,22,21.0,8,1
2008,6,23,21.1,8,1
2008,6,24,23.6,8,1
2008,6,25,21.6,8,1
2008,6,26,17.0,8,1
2008,6,27,21.6,8,1
2008,6,28,23.4,8,1
2008,6,29,21.0,8,1
2008,6,30,21.7,8,1
2008,7,1,21.8,8,1
2008,7,2,23.7,8,1
2008,7,3,24.3,8,1
2008,7,4,26.5,8,1
2008,7,5,27.5,8,1
2008,7,6,27.0,8,1
2008,7,7,25.1,8,1
2008,7,8,24.1,8,1
2008,7,9,24.3,8,1
2008,7,10,24.6,8,1
2008,7,11,26.0,8,1
2008,7,12,28.0,8,1
2008,7,13,28.5,8,1
2008,7,14,28.9,8,1
2008,7,15,27.8,8,1
2008,7,16,27.3,8,1
2008,7,17,27.9,8,1
2008,7,18,28.7,8,1
2008,7,19,29.1,8,1
